Nom,Pate Bière,Pate Nature,Confiture Fraise,Nutella,Miel,Banane,Sucre,Beurre,Emmental,Raclette,Oeuf,Jambon,Poulet,Confiture Abricot,Chèvre,Spéculoos
ines.bsf#0434,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
adrien.l#8512,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
tech_in_terh (vicLitoux)#3607,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
piera#6622,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
Nyaleph#2000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Polo7500#0879,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
rooteur#7070,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ines.bsf#0434,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Dhémis#7244,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Vieudebris#9753,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Valentin PY#8965,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Chocotube#9523,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Heisen Berg#9376,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cedhulk#9782,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Heisen Berg#9376,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Valentin PY#8965,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Elsa#2922,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tats#6285,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Skyaxes#2249,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
daniel14920123#9086,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pierre#5815,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Pierre#5815,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Polo7500#0879,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Polo7500#0879,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Σταrkιηατϕr#5191,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lazy - Yohan H#3053,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
